+---------------------+---------------------+----------+----------+--------------+---------------+----------------+-------------+
| Date                | Date                |     Open |    Close |   Buy Signal |   Sell Signal |   Buy and Hold |    Strategy |
| 2002-03-18 00:00:00 | 2002-03-18 00:00:00 |  89.73   |  90      |            0 |             1 |     14         |   1703.46   |
| 2002-03-25 00:00:00 | 2002-03-25 00:00:00 |  90.25   |  89.85   |            0 |             1 |     13.85      |   1717.31   |
| 2002-04-01 00:00:00 | 2002-04-01 00:00:00 |  86.15   |  89.4    |            0 |             1 |     13.4       |   1730.71   |
| 2002-04-08 00:00:00 | 2002-04-08 00:00:00 |  83      |  85.05   |            0 |             1 |      9.05      |   1739.76   |
| 2002-04-15 00:00:00 | 2002-04-15 00:00:00 |  86.31   |  82.53   |            0 |             1 |      6.53      |   1746.29   |
| 2002-04-22 00:00:00 | 2002-04-22 00:00:00 |  79.15   |  85.5    |            0 |             1 |      9.5       |   1755.79   |
| 2002-04-29 00:00:00 | 2002-04-29 00:00:00 |  78.55   |  79.16   |            0 |             1 |      3.16      |   1758.95   |
| 2002-05-06 00:00:00 | 2002-05-06 00:00:00 |  76.75   |  78.8    |            0 |             1 |      2.8       |   1761.75   |
| 2002-05-13 00:00:00 | 2002-05-13 00:00:00 |  80.5    |  76.65   |            0 |             1 |      0.650002  |   1762.4    |
| 2002-05-20 00:00:00 | 2002-05-20 00:00:00 |  78.19   |  80.4    |            0 |             1 |      4.4       |   1766.8    |
| 2002-05-27 00:00:00 | 2002-05-27 00:00:00 |  75.45   |  78.3    |            0 |             1 |      2.3       |   1769.1    |
| 2002-06-03 00:00:00 | 2002-06-03 00:00:00 |  73.95   |  75.45   |            0 |             1 |     -0.550003  |   1768.55   |
| 2002-06-10 00:00:00 | 2002-06-10 00:00:00 |  72.85   |  74.25   |            0 |             1 |     -1.75      |   1766.8    |
| 2002-06-17 00:00:00 | 2002-06-17 00:00:00 |  70.55   |  73.2    |            0 |             1 |     -2.8       |   1764      |
| 2002-06-24 00:00:00 | 2002-06-24 00:00:00 |  73.35   |  70.6    |            0 |             1 |     -5.4       |   1758.6    |
| 2002-07-01 00:00:00 | 2002-07-01 00:00:00 |  73.95   |  73.75   |            0 |             1 |     -2.25      |   1756.35   |
| 2002-07-08 00:00:00 | 2002-07-08 00:00:00 |  73.15   |  73.75   |            0 |             1 |     -2.25      |   1754.1    |
| 2002-07-15 00:00:00 | 2002-07-15 00:00:00 |  77      |  73.07   |            0 |             1 |     -2.93      |   1751.17   |
| 2002-07-22 00:00:00 | 2002-07-22 00:00:00 |  69.58   |  74.5    |            0 |             1 |     -1.5       |   1749.67   |
| 2002-07-29 00:00:00 | 2002-07-29 00:00:00 |  70.49   |  71.55   |            0 |             1 |     -4.45      |   1745.22   |
| 2002-08-05 00:00:00 | 2002-08-05 00:00:00 |  75.45   |  70.49   |            0 |             1 |     -5.51      |   1739.71   |
| 2002-08-12 00:00:00 | 2002-08-12 00:00:00 |  79.53   |  74.75   |            0 |             1 |     -1.25      |   1738.46   |
| 2002-08-19 00:00:00 | 2002-08-19 00:00:00 |  78.3    |  79.53   |            0 |             1 |      3.53      |   1741.99   |
| 2002-08-26 00:00:00 | 2002-08-26 00:00:00 |  77.3    |  78.85   |            0 |             1 |      2.85      |   1744.84   |
| 2002-09-02 00:00:00 | 2002-09-02 00:00:00 |  72.34   |  76.06   |            0 |             1 |      0.0599976 |   1744.9    |
| 2002-09-09 00:00:00 | 2002-09-09 00:00:00 |  73      |  71.7    |            0 |             1 |     -4.3       |   1740.6    |
| 2002-09-16 00:00:00 | 2002-09-16 00:00:00 |  67.36   |  72.8    |            0 |             1 |     -3.2       |   1737.4    |
| 2002-09-23 00:00:00 | 2002-09-23 00:00:00 |  66.13   |  66.1    |            0 |             1 |     -9.9       |   1727.5    |
| 2002-09-30 00:00:00 | 2002-09-30 00:00:00 |  62.05   |  65.95   |            0 |             1 |    -10.05      |   1717.44   |
| 2002-10-07 00:00:00 | 2002-10-07 00:00:00 |  64.2    |  61.55   |            0 |             1 |    -14.45      |   1702.99   |
| 2002-10-14 00:00:00 | 2002-10-14 00:00:00 |  70.55   |  63.6    |            0 |             1 |    -12.4       |   1690.59   |
| 2002-10-21 00:00:00 | 2002-10-21 00:00:00 |  73.99   |  70      |            0 |             1 |     -6         |   1684.59   |
| 2002-10-28 00:00:00 | 2002-10-28 00:00:00 |  73.45   |  74.9    |            0 |             1 |     -1.1       |   1683.49   |
| 2002-11-04 00:00:00 | 2002-11-04 00:00:00 |  73.08   |  74.98   |            0 |             1 |     -1.02      |   1682.48   |
| 2002-11-11 00:00:00 | 2002-11-11 00:00:00 |  75.25   |  73.09   |            0 |             1 |     -2.91      |   1679.56   |
| 2002-11-18 00:00:00 | 2002-11-18 00:00:00 |  79.11   |  75.7    |            0 |             1 |     -0.300003  |   1679.26   |
| 2002-11-25 00:00:00 | 2002-11-25 00:00:00 |  78.87   |  79.12   |            0 |             1 |      3.12      |   1682.38   |
| 2002-12-02 00:00:00 | 2002-12-02 00:00:00 |  74.5    |  78.88   |            0 |             1 |      2.88      |   1685.26   |
| 2002-12-09 00:00:00 | 2002-12-09 00:00:00 |  73.1    |  74.51   |            0 |             1 |     -1.49      |   1683.77   |
| 2002-12-16 00:00:00 | 2002-12-16 00:00:00 |  71.86   |  73.1    |            0 |             1 |     -2.9       |   1680.87   |
| 2002-12-23 00:00:00 | 2002-12-23 00:00:00 |  67.92   |  71.03   |            0 |             1 |     -4.97      |   1675.9    |
| 2002-12-30 00:00:00 | 2002-12-30 00:00:00 |  70.38   |  68.25   |            0 |             1 |     -7.75      |   1668.15   |
| 2003-01-06 00:00:00 | 2003-01-06 00:00:00 |  74.92   |  70.02   |            0 |             1 |     -5.98      |   1662.17   |
| 2003-01-13 00:00:00 | 2003-01-13 00:00:00 |  72.58   |  75.2    |            0 |             1 |     -0.800003  |   1661.37   |
| 2003-01-20 00:00:00 | 2003-01-20 00:00:00 |  69.15   |  73      |            0 |             1 |     -3         |   1658.37   |
| 2003-01-27 00:00:00 | 2003-01-27 00:00:00 |  68.1    |  68.75   |            0 |             1 |     -7.25      |   1651.12   |
| 2003-02-03 00:00:00 | 2003-02-03 00:00:00 |  65.7    |  68.1    |            0 |             1 |     -7.9       |   1643.22   |
| 2003-02-10 00:00:00 | 2003-02-10 00:00:00 |  66.7    |  65.7    |            0 |             1 |    -10.3       |   1632.92   |
| 2003-02-17 00:00:00 | 2003-02-17 00:00:00 |  68.5    |  67.24   |            0 |             1 |     -8.76      |   1624.16   |
| 2003-02-24 00:00:00 | 2003-02-24 00:00:00 |  69.45   |  68.51   |            0 |             1 |     -7.49      |   1616.67   |
| 2003-03-03 00:00:00 | 2003-03-03 00:00:00 |  66.68   |  69.45   |            0 |             1 |     -6.55      |   1610.12   |
| 2003-03-10 00:00:00 | 2003-03-10 00:00:00 |  66.62   |  66.69   |            0 |             1 |     -9.31      |   1600.81   |
| 2003-03-17 00:00:00 | 2003-03-17 00:00:00 |  72.1    |  66.62   |            0 |             1 |     -9.38      |   1591.43   |
| 2003-03-24 00:00:00 | 2003-03-24 00:00:00 |  70.11   |  72.1    |            0 |             1 |     -3.9       |   1587.53   |
| 2003-03-31 00:00:00 | 2003-03-31 00:00:00 |  72.06   |  68.01   |            0 |             1 |     -7.99      |   1579.54   |
| 2003-04-07 00:00:00 | 2003-04-07 00:00:00 |  72.42   |  73.5    |            0 |             1 |     -2.5       |   1577.04   |
| 2003-04-14 00:00:00 | 2003-04-14 00:00:00 |  76.1    |  72.42   |            0 |             1 |     -3.58      |   1573.46   |
| 2003-04-21 00:00:00 | 2003-04-21 00:00:00 |  75.87   |  76.1    |            0 |             1 |      0.0999985 |   1573.56   |
| 2003-04-28 00:00:00 | 2003-04-28 00:00:00 |  76.6    |  76.37   |            0 |             1 |      0.370003  |   1573.93   |
| 2003-05-05 00:00:00 | 2003-05-05 00:00:00 |  75      |  76.6    |            0 |             1 |      0.599998  |   1574.53   |
| 2003-05-12 00:00:00 | 2003-05-12 00:00:00 |  76.7    |  75      |            0 |             1 |     -1         |   1573.53   |
| 2003-05-19 00:00:00 | 2003-05-19 00:00:00 |  76.15   |  76.7    |            0 |             1 |      0.699997  |   1574.23   |
| 2003-05-26 00:00:00 | 2003-05-26 00:00:00 |  81.5    |  76.15   |            0 |             1 |      0.150002  |   1574.38   |
| 2003-06-02 00:00:00 | 2003-06-02 00:00:00 |  88.7    |  81.5    |            0 |             1 |      5.5       |   1579.88   |
| 2003-06-09 00:00:00 | 2003-06-09 00:00:00 |  89.17   |  88.3    |            0 |             1 |     12.3       |   1592.18   |
| 2003-06-16 00:00:00 | 2003-06-16 00:00:00 |  86.25   |  90      |            0 |             1 |     14         |   1606.18   |
| 2003-06-23 00:00:00 | 2003-06-23 00:00:00 |  82.38   |  86.25   |            0 |             0 |     10.25      |   1616.43   |
| 2003-06-30 00:00:00 | 2003-06-30 00:00:00 |  84.7    |  83.1    |            0 |             0 |      7.1       |   1623.53   |
| 2003-07-07 00:00:00 | 2003-07-07 00:00:00 |  87.32   |  85.7    |            0 |             0 |      9.7       |   1633.23   |
| 2003-07-14 00:00:00 | 2003-07-14 00:00:00 |  87.69   |  87.33   |            0 |             0 |     11.33      |   1644.56   |
